Nome Contratado,Quantidade_Orgao,Total_Contratos
FORTLINE INDUSTRIA E COMERCIO DE MOVEIS LTDA,2,4339432.1800
FUNDACAO DE DESENVOLVIMENTO DA PESQUISA,2,2360623.8600
FUNDACAO GETULIO VARGAS,2,4081037.1900
G2 CONSTRUCAO E MANUTENCAO INDUSTRIAL LTDA,2,3441858.1600
G2B COMERCIO E REPRESENTACOES LTDA,2,117525.8900
GOHOBBY DISTRIBUIDORA DE VANT LTDA,2,1952280.0000
APOLLO SERVICOS & COMERCIO LTDA,2,9280042.9700
B7 EMPREENDIMENTOS LTDA,2,2157766.4000
BANCO DO BRASIL SA,2,187659.2800
BHIO SUPPLY INDUSTRIA E COMERCIO DE EQUIPAMENTOS MEDICOS S/A,2,8099.9900
39.553.972 JAMISSON RORIZ DE SANTANA,2,185740.6600
A3 LOCACAO DE MAO DE OBRA E SERVICOS LTDA,2,474896.3600
AMAZONAS ENERGIA S.A,2,5804070.9900
ASSOCIACAO PARANAENSE DE CULTURA - APC,2,1264971.8600
ARAGORN SUPRIMENTOS E MANUTENCAO LTDA,2,288462.0000
3CORP TECHNOLOGY INFRAESTRUTURA DE TELECOM LTDA.,2,2006584.0000
ABBOTT LABORATORIOS DO BRASIL LTDA,2,2328092.0000
ACC CONSTRUCOES LTDA,2,1126565.3500
AGUAS DO SERTAO S/A,2,7289.0400
ALGAR TELECOM S/A,2,256917.0000
AMM TECNOLOGIA E SERVICOS DE INFORMATICA S/A,2,1585600.0000
AGUAS DO PARAIBA SA,2,212503.2000
CEI COMERCIO EXPORTACAO E IMP DE MAT MEDICOS LTDA,2,83400.0000
CELESC DISTRIBUICAO S.A,2,1181554.2800
CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SABESP,2,126103.5600
CIENLABOR INDUSTRIA E COMERCIO LTDA,2,8294.6400
COENE GESTAO EM SERVICOS DE LIMPEZA LTDA,2,922582.3200
CIRURGICA SAO FELIPE PRODUTOS PARA SAUDE LTDA,2,87200.0000
CLAREAR COMERCIO E SERVICOS DE MAO DE OBRA LTDA,2,2561948.0400
COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA,2,333830.0200
COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG,2,182109.4000
COMPANHIA ENERGETICA DE PERNAMBUCO,2,727086.3600
COMPANHIA PERNAMBUCANA DE SANEAMENTO,2,160000.0000
COMPANHIA ULTRAGAZ S A,2,346800.0000
CONCESSIONARIA DE SANEAMENTO DO AMAPA SPE S.A.,2,85000.0000
CONTINENTAL SERVICE SERVICOS DE CONSTRUCAO LTDA,2,4792637.6800
AGM3 LOCACAO DE VEICULOS E SERVICOS LTDA,2,778781.4000
BRASFERMA LTDA,2,17379.0000
BECTON DICKINSON INDUSTRIAS CIRURGICAS LTDA,2,1304704.6400
BRIGHT TELECOM LTDA,2,32087.2200
BRISANET SERVICOS DE TELECOMUNICACOES S.A.,2,53204.8800
CAIXA ECONOMICA FEDERAL,2,1570307.0000
CARLOS HENRIQUE MACHADO 07312274846,2,193905.0000
CEMIG DISTRIBUICAO S.A,2,1796715.3200
CENTRO DE INTEGRACAO EMPRESA ESCOLA CIE E,2,14362.0000
RODOCON CONSTRUCOES RODOVIARIAS LTDA,2,6197196.6200
PROFORCE TERCEIRIZACOES E SERVICOS LTDA,2,1346610.9600
PURISSIMA AGUA MINERAL LTDA,2,380709.0000
SIEMENS HEALTHCARE DIAGNOSTICOS LTDA.,2,671561.9800
SEGMAR SERVICOS TERCEIRIZADOS LTDA,2,698578.2000
PORTO SEGURO COMPANHIA DE SEGUROS GERAIS,2,248969.0300
PRIMASOFT INFORMATICA LTDA.,2,55545.0000
PRIME COMERCIO E SERVICOS DE EXTINTORES LTDA,2,168635.5600
REDNOV FERRAMENTAS LTDA.,2,9027.8800
SANDU COMERCIO E DISTRIBUICAO DE PRODUTOS LTDA,2,24124.2000
SAPRA LANDAUER SERVICO DE ASSESSORIA E PROTECAO RADIOLOGICA LTDA.,2,45341.7600
SITECNET INFORMATICA LTDA,2,65698.2400
SYSTECH SISTEMAS E TECNOLOGIA EM INFORMATICA LTDA,2,3831908.0000
TELEMATICA SISTEMAS INTELIGENTES LTDA,2,1548131.9900
VENEZA SERVICOS ADMINISTRATIVOS LTDA,2,5472014.7600
VALEX SERVICOS TECNICOS DE LIMPEZA LTDA,2,148264.2800
VALI AUDITORIA ASSESSORIA CONTABIL E FISCAL LTDA,2,728534.2800
TELECOMUNICACOES BRASILIA LTDA,2,43255.2000
SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA,2,296659.5500
TELTEC SOLUTIONS LTDA,2,7933144.0000
THORK APOIO ADMINISTRATIVO LTDA,2,2789159.5000
TOTVS S.A.,2,4744573.0500
VIBRA ENERGIA S.A,2,51905272.7000
WELTSOLUTIONS SUPORTE EM TECNOLOGIA DA INFORMACAO LTDA,2,134423.9900
VS DATA COMERCIO & DISTRIBUICAO LTDA,2,8370423.7400
VLP NOBREAKS E ESTABILIZADORES LTDA,2,170410.0000
YPE COMERCIO E SERVICOS LTDA,2,536800.0000
SERVIOESTE SOLUCOES AMBIENTAIS LTDA,2,72819.9600
PETBRAZIL ANIMAL CARE LTDA,2,356173.0000
OCTAGONAL COMERCIO E SERVICOS LTDA,2,338260.3400
PA ARQUIVOS LTDA,2,412479.0800
NOVA ANALITICA IMPORTACAO E EXPORTACAO LTDA,2,1220001.3800
NOVA TECNICA INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA LABORATORIO LTDA,2,33000.0000
PHILIPS MEDICAL SYSTEMS LTDA,2,859830.0000
PILLAR SERVICOS ELETRICOS E CONSTRUCOES LTDA,2,144762.0000
PLANSUL PLANEJAMENTO E CONSULTORIA LTDA,2,25756155.2300
PPN TECNOLOGIA E INFORMATICA LTDA,2,545431.3300
OI S.A. - EM RECUPERACAO JUDICIAL,2,259233.7600
ORBENK ADMINISTRACAO E SERVICOS LTDA.,2,372652.0800
"MULTI REFORMAS, CONSTRUCOES, COMERCIO E SERVICOS LTDA",2,730800.0000
METTLER - TOLEDO INDUSTRIA E COMERCIO LTDA,2,119572.8800
MPE ENGENHARIA E SERVICOS S/A,2,32338715.2800
MAIS ESTAGIOS LTDA,2,246515.7600
MERCOSERVICE PRESTACAO DE SERVICOS LTDA,2,1141857.5600
MONEY TURISMO LTDA,2,5017056.2100
NASMELLO COMERCIO E SERVICOS LTDA,2,304446.4300
MARQUES COSTA & SILVA NETO LTDA,2,918528.9300
MANACAPURU LIMPEZA E CONSERVACAO LTDA,2,8915679.3600
MEDTRONIC COMERCIAL LTDA,2,351850.0000
MEDVITALIS SERVICOS LTDA,2,2483284.8400
MEGA 3 CONSTRUCAO LTDA,2,2067011.5800
MGB PNEUS IMPORTACAO E DISTRIBUICAO LTDA,2,53053.2800
GENTE SEGURADORA SA,2,198213.9400
ILLUMINA BRASIL PRODUTOS DE BIOTECNOLOGIA LTDA,2,113299.1000
IT-ONE TECNOLOGIA DA INFORMACAO S.A.,2,371171.7500
D.W.L. COMERCIO E SERVICOS DE INFORMATICA LTDA,2,236917.0000
LIDERANCA LIMPEZA E CONSERVACAO LTDA,2,2882743.4600
LINK CARD ADMINISTRADORA DE BENEFICIOS LTDA,2,2082377.4400
JR BRASIL PRESTADORA DE SERVICOS LTDA,2,805606.2500
LANCER ENGENHARIA LTDA,2,538295.5900
LABINFARMA INDUSTRIA E COMERCIO DE EQUIPAMENTOS MEDICOS HOSPITALARES LTDA,2,262000.0000
G&E SERVICOS TERCEIRIZADOS LTDA,2,5659649.9100
LIDER DISTRIBUIDORA DE MOVEIS E EQUIPAMENTOS PARA SAUDE LTDA,2,15450.8500
LIDER LIMPE LIMPEZA COMERCIAL LTDA,1,798224.2800
LIDER LTDA,1,224049.2200
LIDER NOTEBOOKS COMERCIO E SERVICOS LTDA,1,1115513.0000
G. K. C. LOPES,1,150270.6100
G.C.E S/A,1,23385002.6100
G.S.I - SERVICOS ESPECIALIZADOS LTDA,1,1063654.5600
LABORATORIO CEDRO LTDA,1,79500.0000
"LABORATORIO DE IDEIAS EDITORACAO ELETRONICA, GRAFICA E BRINDES LTDA",1,208074.8600
LABORATORIO DE PROTESE E ORTESE LTDA,1,66700.0000
LABORATORIO DR ROUGET PEREZ LTDA,1,100000.0000
LABORATORIO SACE-SERVICO DE ANALISES CLINICAS ESPECIALIZADAS LTDA,1,60000.0000
LABORATORIOS B BRAUN SA,1,487200.0000
LABORATORIOS FERRING LTDA,1,51720.0000
LAERDAL MEDICAL IMPORTACAO E COMERCIO DE PRODUTOS MEDICOS LTDA.,1,756044.0000
LAGES FIGUEIROA LTDA,1,11250.0100
LAGOTELA LTDA,1,3391610.2600
LAMPARINA EDITORA LTDA,1,223494.0400
LANDTEC CONSULTORIA AMBIENTAL E SERVICOS DE CONSTRUCAO CIVIL LTDA,1,858593.7600
LANLINK SERVICOS DE INFORMATICA SA,1,519286.0500
LAPAT CUIABA LTDA,1,130000.0000
LARISSA KAREN DA COSTA MEYER,1,79500.0000
LASALUS LABORATORIO CLINICO LTDA,1,1674125.0000
LAUSHER COMERCIO E SERVICOS LTDA,1,103327.3100
LCM CONSTRUCAO E COMERCIO S.A,1,302876399.7200
LD ALMEIDA COMERCIO E SERVICOS LTDA,1,11784.0000
LDM ENDOSCOPIOS LTDA,1,608000.0000
LEANDRO DA CONCEICAO GONCALVES EMPREENDIMENTOS LTDA,1,7746777.3600
LEDO E PARRA SERVICOS MEDICOS LTDA,1,1097040.0000
LEGRAND BRASIL LTDA,1,728800.0000
LEICA DO BRASIL IMPORTACAO E COMERCIO LTDA.,1,132899.0600
LENI S SILVA DE LUCENA,1,46149.0000
LENISA DISTRIBUIDORA LTDA,1,8277.4000
LEONARDO AGUIAR MARTIN,1,40900.0000
LETRA E IMAGEM EDITORA E PRODUCOES LTDA.,1,332864.6500
LEXIKON EDITORA DIGITAL LTDA,1,1401319.0900
"LFE EDITORA, CONSULTORIA E NEGOCIOS LTDA",1,591077.1100
LIBERTINA DA SILVA BUENO,1,21114.0000
LIBRAMOVEIS COMERCIO E SERVICOS LTDA,1,91082.6000
LICERI COMERCIO DE PRODUTOS EM GERAL LTDA,1,1965.6000
LICICOM COMERCIO E SERVICOS LTDA,1,225127.2600
LICITARIMOB COMERCIO E SERVICOS DE INFORMATICA LTDA,1,2798.0000
"LICITATRADE SERVICO, COMERCIO E IMPORTACAO LTDA",1,0.0000
LICITEC TECNOLOGIA LTDA,1,17996.9900
JR TRANSPORTE EIRELI,1,73627.5700
JRM INSTALACOES LTDA,1,714324.2300
JSM SOLUCOES LOGISTICA E TRANSPORTE LTDA,1,118440.0000
JULEAN DECORACOES LTDA,1,57822.9000
JULIA MARIA MORENO LIMA,1,30000.0000
JULLIARD DUARTE TORRES,1,4037.2000
JUNIOR ELETRICIDADE LTDA,1,751010.1500
JUNIOR FERREIRA DE MOURA LTDA,1,20283.8100
JUSIMED IMPORTACAO E COMERCIO DE PRODUTOS MEDICOS LTDA,1,0.0000
JW COMERCIO E CONFECCOES LTDA,1,6176100.0000
K S DO N SILVA PSICOLOGIA E SAUDE,1,300000.0000
K.C.R. INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA,1,4350.0000
K2 IT LTDA,1,1881488.0000
KAIO CESAR DE BRITO E PAULA LTDA,1,19156.4000
KAIROS ELETRICA COMERCIO E SERVICOS LTDA,1,16950.0000
KANTRO EMPREENDIMENTOS APOIO E SERVICOS LTDA,1,6049328.0200
KARISTEN COMERCIO E SERVICOS MECANICOS E ELETRICOS LTDA,1,524881.6400
KELLY BARREIRO FERNANDES,1,79500.0000
KELONIK DO BRASIL SERVICOS DIGITAIS LTDA,1,17400.0000
KIDS LIFE CENTER LTDA,1,79500.0000
KIENTRO BRASIL LTDA,1,9780.0000
KIT'S EDITORA COMERCIO E INDUSTRIA LTDA,1,1155499.6700
KOSMOS CONSTRUTORA LTDA,1,179038.6800
L C DE VASCONCELOS LTDA,1,106739.5400
L DE FATIMA A DA SILVA LTDA,1,5000.0000
L M ALIMENTACAO LTDA,1,373198.0000
L S PROJETOS E SERVICOS LTDA,1,2518755.9900
L. A. PEREIRA PRODUCOES LTDA,1,15000.0000
L.R. RADIOLOGIA ODONTOLOGICA LTDA,1,79500.0000
"L2 ARQUITETURA, CONSTRUCOES E SERVICOS LTDA",1,785889.8300
LABCLIN-LABORATORIO E CLINICA MEDICA LTDA,1,150000.0000
LINK INFORMATICA LTDA,1,32400.0000
LITOLASER SERVICOS UROLOGICOS LTDA,1,200000.0000
LITORAL ENGENHARIA E CONSTRUCOES LTDA,1,295964.7600
LIVRARIA E DISTRIBUIDORA MENTE SANA LTDA,1,16650.0000
LIVRARIA E DISTRIBUIDORA MULTICAMPI LTDA,1,1192339.3000
LIVRARIA LA FONTAINE LTDA,1,859822.5300
LIVROS AZUIS LTDA,1,1213509.3800
LIVROS E COISAS LIVRARIA LTDA,1,39000.0000
LLS TRANSPORTE E AGENCIAMENTO DE CARGAS LTDA,1,94340.0000
LM - ENGENHARIA E CONSTRUCOES LTDA,1,2109617.0500
LMS LOCACAO E MAO DE OBRA LTDA,1,18455.0400
"LOBOV CIENTIFICA, IMPORTACAO, EXPORTACAO, COMERCIO DE EQUIPAMENTOS PARA LABORATO",1,118850.0000
LOCALIZA VEICULOS ESPECIAIS S.A.,1,552300.0000
LOCATELLI & MORAIS EMPREENDIMENTOS IMOBILIARIOS LTDA,1,8400000.0000
LOG MATERIAIS E FERRAMENTAS LTDA,1,213000.0000
LOK - SERVICOS DE LOCACAO E CONSTRUTORA LTDA,1,36900.0000
LOPZ COMUNICACAO LTDA,1,9200.0000
LORENA GUIDA FONSECA RIBEIRO,1,23999.9500
LORRANY BRITO DA SILVA,1,1939444.0500
LOTUS CULTURAL EDITORA LTDA,1,483165.9000
LRV EDITORA LTDA,1,649878.8300
"LTA-RH INFORMATICA, COMERCIO, REPRESENTACOES LTDA",1,213200.0000
LTBA COMERCIO E SERVICOS LTDA,1,2520.0000
LUCAS MARGON ZANETTI,1,5002.3600
LUCIANA CETRIM DE ALMEIDA MATOS  -,1,67021.3900
LUCIANA SILVA LOBATO,1,30000.0000
LUCILA APARECIDA DA SILVA ALVES SANTANA 28540463822,1,7344.0000
LUCILENE PEREIRA DOS SANTOS,1,1391.5000
LUIS ROBERTO BOSCARIOL LTDA,1,75300.0000
LUIZ DE JESUS CARVALHO 19521317825,1,41671.6200
LUIZ MARCOS ALMEIDA DA SILVA,1,71000.6200
LUIZ TADEO DAMASCHI,1,222.4000
LUIZA LEAO FERREIRA 13625936640,1,15620.0000
LUMEN SUPRIMENTAL E LOCACOES LTDA,1,619.0000
LUMIAR HEALTH BUILDERS EQUIPAMENTOS HOSPITALARES LTDA,1,261000.0000
LUSEG SEGURANCA PRIVADA LTDA,1,220620.0000
M C A SERVICOS MEDICOS LTDA,1,120000.0000
M C PADULA - CONSULTORIA E PERICIAS LTDA,1,1.0000
M D L SERVICOS GERAIS LTDA,1,11491.2000
M F FRAZAO CONSTRUCOES E SERVICOS LTDA,1,707579.8400
M M C ENGENHARIA LTDA,1,407833.1200
M S CUNHA SANTOS COMERCIAL LTDA,1,11440.0000
M S SOUSA & MIRANDA ALIMENTACAO LTDA,1,8579393.0000
M. J. KARAS EDICOES LTDA,1,1123430.0500
M. L. PERES EMPREENDIMENTOS LTDA,1,1291749.8400
M.G.F SUL CONSTRUTORA E SERVICOS LTDA,1,326158.0000
M.S DIAGNOSTICA LTDA,1,128264.8400
M.TESTA CONFECCAO,1,120.0000
M10 EDITORIAL LTDA,1,762584.0500
M3 COMERCIO  SOFTWARE LTDA,1,7200000.0000
M3 SERVICOS E CONSULTORIA LTDA,1,314133.8900
MACMILLAN DO BRASIL EDIT.COML IMP E DISTRIBUIDORA LTDA,1,685460.8300
"MAFEL CONSTRUCOES, PROJETOS E PARTICIPACOES LTDA",1,50000.0000
MAGNA ENGENHARIA LTDA,1,6307486.2700
MAGNA VIGILANCIA E SEGURANCA PATRIMONIAL LTDA,1,848350.0800
MAIA MULTI SOLUCOES E PRODUTOS LTDA,1,12258.3800
MAIRA NASSIF PASSOS,1,532968.8000
LIFE SANEAMENTO LTDA.,1,360000.0000
DA SILVA PRADO EDITORES LTDA,1,674017.2100
LIFEKRON COMERCIO DE ARTIGOS MEDICO-HOSPITALARES LTDA,1,0.0000
LIFEMED INDUSTRIAL DE EQUIPAMENTOS E ARTIGOS MEDICOS E HOSPITALARES S.A.,1,0.0000
LIFETEX INDUSTRIA E COMERCIO LTDA,1,103302.0000
LIGA ENGENHARIA LTDA,1,15083425.0000
LILIAN TORRES LOUZADA PRESTACAO DE SERVICOS E TREINAMENTO PROFISSIONAL LTDA,1,410400.0000
LILZE FRANKLIN FERREIRA GOMES,1,30000.0000
LIMA E RAMOS LTDA,1,79500.0000
LIMPADORA SANTO AUGUSTO LTDA,1,67645.0000
LIMP-TUDO SERVICOS DE LIMPEZA E CONSERVACAO LTDA,1,80000.0000
LIMTEC SERVICOS ESPECIALIZADOS LTDA,1,16159.0400
LINCE - SEGURANCA PATRIMONIAL LTDA.,1,270995.4700
LINCE INSTALACOES E SERVICOS LTDA,1,273723.1000
LINE PRO ENGENHARIA LTDA,1,858057.4600
LINEAR COMUNICACAO LTDA,1,45000.0000
MARCIO FRANCISCO DO NASCIMENTO 47094613172,1,49312.1000
MARCOS ANTONIO MOREIRA DA SILVA 96167122172,1,14684.4000
MARCOS AURELIO CARVALHO DA SILVA 02711061744,1,5400.0000
MARCOS PEREIRA DE LIMA,1,79500.0000
MARES SERVICOS E COMERCIO DE EQUIPAMENTOS LTDA,1,4450.0000
MARGHESS DISTRIBUIDORA E SERVICOS LTDA,1,3569.2800
MARIA DAS DORES DUARTE,1,27937.5000
MARIA DE FATIMA CASTELLANO RANCAO,1,67021.3900
MARIA DO CARMO DA CUNHA DE SOUZA,1,129880.0000
MARIA DO SOCORRO ONOFRE DOS SANTOS ROSA,1,60000.0000
MARIA HELENA BARBOSA DA SILVA SANTOS - ME,1,59511.0000
MARIA ILMA RAMALHO MOREIRA,1,11901.0000
MARIA LUCIA DE MORAES LIMA,1,23100.0000
MARIA ROSA JANE PUJOL,1,19790.5000
MARIA ZENA NERES DOS SANTOS,1,2074.5000
MARIANA ROCHA QUIRINO AMARO,1,45000.0000
MARIETA EDITORA E GRAFICA LTDA,1,835972.8800
MARINA AR CONDICIONADO LTDA,1,86880.0000
MARIO JANDER RIBEIRO DOS SANTOS,1,20000.0000
MARISA MANDARINO ARTIGOS PARA ATACADO E VAREJO,1,24800.0000
MARLENE FRISKE SAUERESSIG EIRELI,1,499.5000
MARLENE VIEIRA DE SOUSA,1,18858.5000
ITS CUSTOMER SERVICE LTDA,1,1598400.0000
IVANETE DUTRA LTDA,1,17540.0000
J & S COMERCIAL DE ALIMENTOS LTDA,1,2492.5000
J ANTONIO PRESTES NETO,1,458390.0000
J BRILHANTE COMERCIAL LTDA,1,24412.5000
J C FARIAS PEREIRA  LTDA,1,1370.0000
J F ALVES DE MORAIS,1,62349.0000
J M F SERVICOS LTDA,1,195326.2800
J M NASCIMENTO COMERCIO E SERVICOS LTDA,1,218538.6400
J NASSER ENGENHARIA LTDA,1,24855138.9700
J NETO ALMADA COUTINHO,1,11772.0000
J P BARBOSA E SILVA LTDA,1,7350.0000
J. C. B. MAQUINAS E EQUIPAMENTOS LTDA,1,571000.0000
J. MARANGONI COMERCIAL - IMPORTACAO E EXPORTACAO LTDA,1,11403.5600
J. R. SERVICOS DE ENGENHARIA LTDA,1,194000.0000
J.A CONSTRUTORA PREVINE LTDA,1,235632.8300
J.R. COMERCIO DE FIOS LTDA,1,495.0000
JAC TRANSPORTES E SERVICOS LTDA,1,692277.9200
JACI SUPERMERCADOS LTDA,1,17455.2000
JACUTINGA COMERCIO E SERVICOS DE TRANSPORTES LTDA,1,57600.0000
JAIRO FRANCISCO DA SILVA JUNIOR E CIA LTDA,1,79500.0000
JANAINA CELIA MODESTO DA SILVA,1,79500.0000
JARDA COMERCIAL DE ALIMENTOS LTDA,1,11522.8000
JAVE YIRE SERVICOS LTDA.,1,838987.8900
"JC REFRIGERACAO, SERVICO E COMERCIO LTDA",1,111474.3000
JCA SERVICOS EMPRESARIAIS LTDA,1,760.0000
JCL ENGENHARIA LTDA,1,64530.0000
JDR SERVICES LTDA,1,159770.8800
JEB COMERCIO DE ELETRONICOS LTDA,1,38075.2200
JENS ENGENHARIA E CONSTRUCOES LTDA,1,439362.7900
JEOL BRASIL INSTRUMENTOS CIENTIFICOS LTDA.,1,187880.0000
JESSICA LUIZA LEITE CHIAVEGATTI,1,79500.0000
JETFLY REVENDEDORA DE COMBUSTIVEIS LTDA,1,953037.0000
JETWEB INTERNET ACCESS LTDA,1,100.0000
JF SOLUCOES INFORMATICA LTDA ME,1,1200.0000
"JG EDITORA, ARTIGOS ESCOLARES E UNIFORMES LTDA",1,1388439.7200
JGA COMERCIO E SERVICOS DE AR CONDICIONADO LTDA,1,49000.2000
JH CORREA COMERCIO DE PRODUTOS ELETROELETRONICOS E PAPELARIA LTDA,1,103000.0000
"JH2P-ENGENHARIA, CONSTRUCAO E DECORACAO LTDA",1,266233.9800
JILMA SILVA PINTO 40944590578,1,2855.0000
JINKINGS EDITORES ASSOCIADOS LTDA,1,520921.7400
JJM COMERCIO DE SORVETES LTDA,1,8880.0000
JJSEABRA DIAGNOSTICO LTDA,1,100000.0000
JLAS CONSTRUCOES LTDA,1,840000.0000
JM INDUSTRIA DE CONFECCOES E BRINDES LTDA,1,33800.0000
JMS CONSTRUTORA E SERVICOS LTDA,1,201342.2200
JOANINHA EDICOES E GRAFICA LTDA,1,1280100.1200
JOAO DE JESUS,1,41184.4700
JOAO PAULO FRANCA DA LAPA,1,76668.4300
JOAO PAULO SANTOS FERREIRA,1,57201.2400
JOAO TEIXEIRA COELHO,1,16625.0000
JOAO WILKSON SENA TALEIRES,1,10000.0000
JOBE LUV INDUSTRIA E COMERCIO LTDA,1,560000.0000
JOHANSSON E BONETTI FISIOTERAPEUTAS ASSOCIADOS LTDA,1,2400000.0000
JOINT BILL REPRESENTACOES COMERCIAIS LTDA,1,347850.0000
JORGE LOPES CACERES,1,5082000.0000
JOSE ADILSON DE ALMEIDA ABREU,1,81248.2100
JOSE AVAILTON DA CUNHA,1,2000.0000
JOSE BATISTA DE ARAUJO 20900490144,1,8376.0000
JOSE DE ALMEIDA ABREU,1,78235.7500
JOSE DE JESUS DOS SANTOS,1,70863.1200
JOSE EDSON ALVES DOS SANTOS,1,77667.1300
JOSE ERINALDO SOUZA DOS SANTOS,1,76123.1000
JOSE FELIPE DOS SANTOS NETO,1,66012.6100
JOSE HAMILTON MENESES DE AZEVEDO 02519944579,1,12600.0000
JOSE LITO ALVES DE SOUZA,1,71585.6300
JOSE LUIZ PINHEIRO DE AZEVEDO,1,18870.0000
JOSE RICARDO ARAUJO DE SOUZA,1,73543.2100
JOSEFINA VALERIA BEZERRA RODRIGUES DA SILVA,1,20000.0000
JP ENGENHARIA LTDA,1,10487000.0000
JPC COMERCIO DE PECAS E PRESTACAO DE SERVICOS DE ENGENHARIA LTDA,1,32479.8800
JR  COMERCIO E SERVICOS DE CLIMATIZACAO LTDA,1,154370.0000
JR ARQUITETURA E ENGENHARIA LTDA,1,26230.5000
ILS INTEGRATED LOGISTIC SOLUTIONS CONSULTING BRASIL LTDA,1,863000.0000
IMAGENS - MEDICINA DIAGNOSTICA S.A.,1,1200000.0000
IMAGETECH TECNOLOGIA EM INFORMATICA LTDA,1,743990.0000
IMAGO DIAGNOSTICO POR IMAGEM LTDA,1,990000.0000
IMMII - INSTITUTO MATOGROSSENSE DE MEDICINA INTERNA E INFECTOLOGIA LTDA,1,300000.0000
IMO S GRAFICA E EDITORA LTDA,1,343996.4100
IMPACTO CONTROLE DE PRAGAS LTDA,1,32000.0400
IMPERIAL NOVO MILENIO GRAFICA E EDITORA LTDA,1,408785.4900
IMPERIO SERVICOS LTDA,1,118782.5600
IMPERMANTA ENGENHARIA LTDA,1,8626013.3100
IMPRESSIONE SOLUCOES EM COPIAS E IMPRESSOES LTDA,1,69648.0000
IMPROL SERVICOS INTEGRADOS LTDA,1,86021.1600
IMUNI CONTROL DEDETIZADORA E IMUNIZADORA LTDA,1,5980.0000
